sweep,setting,U_baseline,U_drift_only,U_deniability_only,U_both,interaction,interaction_share,depth_passthrough,depth_per_layer
curvature,c=0.1,0.0,0.01702418644754749,0.01402219630945082,0.3224526762984895,0.29140629354149117,0.9037180180565189,1.957094201660032,5.999822103274325
curvature,c=0.25,0.0,0.012565665664322816,0.02624879766664443,0.1908782063100196,0.15206374297905234,0.7966532477368015,1.7039402833421962,4.498298016774558
population,Z=50,0.0,0.0176256620896569,0.015122058949697275,0.3224699368089084,0.28972221576955426,0.898447212278396,1.9910964379736378,5.999999321379309
population,Z=100,0.0,0.01777905799007898,0.007627327029812043,0.32247000290995576,0.2970636178900647,0.9212131832709247,1.9999019742243214,5.99999999999941
population,Z=200,0.0,0.01778080050165142,0.0038485384133989282,0.32247000291001304,0.3008406639949627,0.932926043601376,1.9999999879946497,5.999999999999998
selection,beta=0.01,0.0,0.014961411074725785,0.06116965989923662,0.316758664846938,0.2406275938729756,0.7596559165611146,1.591244787365607,5.929861822920089
selection,beta=0.02,1.1154158997299716e-16,0.015711684998618202,0.025532373187661217,0.3221177240931728,0.2808736659068935,0.8719596746736317,1.8378279988687178,5.996359884688565
selection,beta=0.05,0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
selection,beta=0.1,0.0,0.01777905799007898,0.007627327029812043,0.32247000290995576,0.2970636178900647,0.9212131832709247,1.9999019742243214,5.99999999999941
selection,beta=0.2,0.0,0.01778080054433357,0.006109214551481615,0.32247000291001304,0.29857998781419787,0.9259155429025074,1.9999999903951122,5.999999999999999
depth_ceiling,D=4,8.671227472207997e-17,0.017779057990078968,0.005692126138249305,0.13586388906057534,0.11239270493224715,0.8272448677082737,1.9999019742243196,3.999999967913641
depth_ceiling,D=6,0.0,0.01777905799007898,0.007627327029812043,0.32247000290995576,0.2970636178900647,0.9212131832709247,1.9999019742243214,5.99999999999941
depth_ceiling,D=8,0.0,0.01777905799007904,0.11921590050184647,0.5130744941937793,0.3760795357018537,0.7329920702700435,1.9999019742243085,7.9999999999999964
dynamics,replicator,0.0273301515326979,0.017780800715116164,9.558908909594076e-28,0.3224700029100131,0.33201935372759483,1.1249560239939669,2.0,6.0
dynamics,sml,0.0,0.01777905799007898,0.007627327029812043,0.32247000290995576,0.2970636178900647,0.9212131832709247,1.9999019742243214,5.99999999999941
liability,L=5,0.004701904873969087,0.1856554514807143,0.22978310905717478,0.9492924211575544,0.5385557654936344,0.570147334966413,4.553521279091599,5.999999774506419
liability,L=10,0.0,0.06087201939088455,0.1390290919503457,0.3225149494913186,0.12261383815008833,0.38018032448876865,2.9305021148065054,5.999996506219936
liability,L=20,0.0,0.017606343030748615,0.011056823151557682,0.32246992822203996,0.29380676203973366,0.9111136770478332,1.9900479656208274,5.99999923322388
liability,L=40,0.0,0.0001463136668242852,7.794559197809417e-10,0.32246989075195154,0.3223235763056713,0.9995462694332825,1.0072466925591264,5.9999985375253475
liability,L=80,0.0,1.216456244684582e-12,6.395463179255949e-48,4.6068667080574976e-05,4.606866586411873e-05,0.9999999735947159,0.9988090983157517,1.0012026690996012
